,company_name,description,href,full_complain
0,proskins-gg,"Pior loja pra se comprar e vender skins, só tem nome mesmo, na prática não é nada do que falam, atendentes parecem que tem 10 anos",pior-loja-de-skin_Yh0zOxI2AVs_3u2n,"Pior loja pra se comprar e vender skins, só tem nome mesmo, na prática não é nada do que falam, atendentes parecem que tem 10 anos, skins que valem mais de 20 mil reais, ofertam 5-7 mil, donos aposentados, por isso que não ganham mais nada! É o mundo girando, NÃO GASTEM O DINHEIRO DE VOCÊS COM ESSA LOJA! SÓ OLHAR AS RECLAMAÇÕES E SE ACONTECER COM VOCÊS, VÃO LEMBRAR DESSE ALERTA!"
1,proskins-gg,"Recentemente perdi o emprego e estou tendo que vender algumas skins, que valem bastante dinheiro, e quando oferecido no site, eles",precos-enganosos_46jXr0eRJWP56WC8,"Recentemente perdi o emprego e estou tendo que vender algumas skins, que valem bastante dinheiro, e quando oferecido no site, eles avaliam e falam que pagam um pouco abaixo do que eles vendem. Agora os prints vão dizer se é realmente um ""pouco"" abaixo, mas resumindo, tenho uma butterfly fade com 94% de fade FN, FLOAT 0.0103, e a mesma faça no site com float pior, por R$12798,00. E a minha, querem pagar R$7660, 5 MIL REAIS A MENOS!!!! Isso é uma vergonha, era muito fã do trabalho do boltz e do Fer, mas se eles estão apartes do que acontece no site, realmente pararei de segui-los agora. "
2,proskins-gg,"Efetuei a compra de algumas skins no site, e ofereci outras para vender, pois estava precisando do dinheiro. Após menos de 1 seman",editado-pelo-reclame-aquim-na-cara-dura_UWhZK2WL7XCAsCS3,"Efetuei a compra de algumas skins no site, e ofereci outras para vender, pois estava precisando do dinheiro. Após menos de 1 semana tentei devolver as skins que comprei e ofereceram cerca de 30% de quanto paguei no mesmo site, isso é um absurdo! Skins com floats extremamente baixos e raros, valendo cerca de 6-7 mil reais, oferecerem 2 mil? Os donos tinham que ter vergonha de fazer isso com as pessoas, ficar rico a custa dos outros, falta de caráter! Loja do boltz e do fer, caíram no meu conceito! Deveriam boicotar todos os sites que são assim."
3,proskins-gg,Eles fica exigendo que mande foto do cartão isso não existe em lugar nenhum. Comprei com cartão no meu nome tudo no mesmo nome ele,eles-exige-que-voce-manda-foto-do-cartao_zPXhaUnA1y6Z97zB,Eles fica exigendo que mande foto do cartão isso não existe em lugar nenhum. Comprei com cartão no meu nome tudo no mesmo nome eles vem falar de que esta preocupado com [Editado pelo Reclame Aqui]. Que eu saiba ele trabalha vendendo skin e não na PF. Enfim eu so acho que ele usa essas foto pra outra coisas mais sei não em posso provar nada. So espero que eles se [Editado pelo Reclame Aqui]m logo hoje fizeram eu passar raiva me exigindo mandar eu nao mandei eles cancelaram meu pedido 3x e deu extorno ai comprei pela ultima vez agora e eles não cancelaram ainda a compra e so cancelar eu compro de novo e bom que eu pago daqui uns mes as parcela e o dinheiro ja vem pra mim todo kkkkk. 
4,proskins-gg,"Pessoal, não comprem nesta loja.Ficam pedindo foto do cartão e do documento depois de efetuar a compra..Depois enrolam",site-duvidoso-grande-perigo-de-ser-editado-pelo-reclame-aqui_cApYvtdhtjGrlW-Z,"Pessoal, não comprem nesta loja.Ficam pedindo foto do cartão e do documento depois de efetuar a compra..Depois enrolam para mandar o pedido e no fim, mandam errado. Falei, mostrei que estava errado. e não quiseram devolver dinheiro. E ainda seguraram um dos produtos, falando que nao iam me mandar.. Depois de muita briga, mandaram.. Ainda me ofenderam.Se é uma outra pessoa mais besta, eles enrolam e devem até tirar vantagem.CORRAM DESSA LOJA!Não quero mais contato e nem mais papo. Só quero distância de gente assim"
5,proskins-gg,"Anunciam skins.Vendem skins.Cancelam unilateralmente e injustificadamente a transação.Ocorre que, muito embora d",editado-pelo-reclame-aqui-contra-consumidores--oferta-nao-cumprida_w1ZYK1n2364ARKj_,"Anunciam skins.Vendem skins.Cancelam unilateralmente e injustificadamente a transação.Ocorre que, muito embora devolvam o dinheiro, NÃO É ASSIM QUE O MERCADO DE CONSUMO DEVE FUNCIONAR. SE OFERECEU VAI CUMPRIR, SE NÃO QUER CUMPRIR, CAI FORA!(Editado pelo Reclame AQUI).ABUSIVOS.DESEQUILIBRADOS.PRATICAM O QUE BEM ENTENDEM E SEM LIMITE ALGUM.ASQUEROSOS.E AINDA POR CIMA DISCRIMINAM APENAS UM CONSUMIDOR, IMPEDINDO QUE ENTRE NO SITE.ABSURDO TOTAL.NÃO RECOMENDO ESSA BOSTA QUE CHAMAM DE EMPRESA."
6,proskins-gg,"Fiz uma compra no dia 29 no site de uma skin barata para saber se o site e de confiança e até então tudo ok com a compra, me cadas",dados-pessoais_NoyQmORGtjWCmXic,"Fiz uma compra no dia 29 no site de uma skin barata para saber se o site e de confiança e até então tudo ok com a compra, me cadastrei no site, fiz o pagamento através de cartão e vi que só receberia o que comprei no dia seguinte, ok!  Quando chego em casa do trabalho, não vi o item no meu inventário( jogo). Entrei em contato no chat do site e o atendente me pergunta se recebi e-mail informações de que estavam aguardando!Quando fui verificar o email e em conversa no chat, eles queria a foto do meu cartão de crédito e documento.Nunca vi sites ou qualquer outro lugar solicitar essas informações. Não recebi a skin, solicitei o cancelamento e o atendente pediu meu código do pedido e disse que iria cancelar e recebi apenas um email de pedido cancelado e aguardando a devolução ( estorno)!"
7,proskins-gg,"Comprei um item descrito no site pelo preço de 2181,00. Fiz o pagamento via cartão de crédito e o mesmo foi aprovado no mesmo mome",compra-cancelada-por-preco-incorreto_R2kFGnrnu92178im,"Comprei um item descrito no site pelo preço de 2181,00. Fiz o pagamento via cartão de crédito e o mesmo foi aprovado no mesmo momento. Assim que fui solicitar o recebimento do item, recebi a noticia de que o pedido foi cancelado e o valor estornado. Entrei em contato com o suporte, com uma pessoa chamada ""Dexter"" e recebi a seguinte informação: ""Seu pedido foi cancelado porque o preço estava incorreto"". Como que vendem um item com preço incorreto e fazem o cancelamento, sem mais nem menos? Isso não existe, isso é propaganda enganosa. Entrei agora no site e o mesmo produto encontra-se com o valor de 3199,00."
