,company_name,description,href,full_complain
10,mercado-pago,O Mercado Pago lançou promoção de investimento para resgate na black friday de 200% CDI e deixa disponível este na plataforma para,cdb-promocional-black-friday-200-cdi_pAHNh6NMN6taE8_n,O Mercado Pago lançou promoção de investimento para resgate na black friday de 200% CDI e deixa disponível este na plataforma para mim sendo que toda vez que faço o investimento informa que foi realizado com sucesso e logo depois há cancelamento com estorno do dinheiro para a conta corrente. O prazo para resposta e superior a da promoção. Um absurdo 
11,mercado-pago,"Olá! Sou vendedor do Mercado Livre. Dia 30 de agosto, às 15h21, foi registrado na ativadade da minha conta no Mercado Pago a &quot",cobranca-ilegal-sem-autorizacao-ou-mesmo-previo-aviso_W8Qk1rPRwoUycgTg,"Olá! Sou vendedor do Mercado Livre. Dia 30 de agosto, às 15h21, foi registrado na ativadade da minha conta no Mercado Pago a ""transferência"" no valor de R$193,60 para ""Recuperos GNRE"". Bom, primeiramente não sei do que se trata, não fiz esta transferência, não houve aviso prévio de qualquer pagamento referente a isto, não houve minha autorização.Gostaria de extorno do mesmo. Por este e outros motivos nunca vi e não aconselho ninguém a utilizar o Mercado Pago como carteira digital.Aguardo resolução.Att, Cosme A. "
12,mercado-pago,"Boa tarde , o mercado pago ontem descontou da minha conta um valor de 147 reais depois mais 7 reais informando que é sobre o Gnre ",transferiram-dinheiro-sem-minha-autorizacao_xcjqwTGZoIII_-j5,"Boa tarde , o mercado pago ontem descontou da minha conta um valor de 147 reais depois mais 7 reais informando que é sobre o Gnre de uma nota cujo a nota e de um produto que eu comprei no mercado livre um multimídia e nessa nota não está falando nada de cobrança de imposto e nem de frete, comprei o produto e estava falando que seria frete grátis e agr estão me cobrando número da nota e 5024. Liguei pra lá várias vezes e só sabem me transferir e nunca resolve meu problema ninguém resolve nada e nem sabe o motivo pelo qual eu fui cobrada."
13,mercado-pago,"No dia de hoje 01/09, recebi uma transferência de um cartão de crédito,que saiu da conta da pessoa o valor de $1080, chegou na min",recebi-um-valor-errado_KNvJE2NbQzU8yjX5,"No dia de hoje 01/09, recebi uma transferência de um cartão de crédito,que saiu da conta da pessoa o valor de $1080, chegou na minha conta apenas o valor de $1030. Na minha conta em atividade mostra recebido $1080, quando Clico em "" seu dinheiro"" aparece $1030 ( valor que recebi). Entrei em contato com o suporte via whatsapp 2 vezes, a primeira encerraram o atendimento de forma abrupta sem resolver. A segunda vez informaram uma transferência para o setor responsável e estou esperando a horas uma resposta. Uma coisa é certa,$50 reais ""desapareceram e eu quero de volta, agora!"
14,mercado-pago,"Como não identifiquei nada para denunciar no site do Mercado Pago, venho por esse canal evidenciar que os dados abaixo estão sendo",aplicacao-de-editado-pelo-reclame-aqui-pela-conta-no-mercado-pago_oEUPzGZB5AI1iW_w,"Como não identifiquei nada para denunciar no site do Mercado Pago, venho por esse canal evidenciar que os dados abaixo estão sendo utilizados para aplicar [Editado pelo Reclame Aqui]s e solicitar dinheiro com geração de boletos ""falsos"". Como a conta está vinculada ao Mercado Pago, alerto a instituição financeira a esse respeito:BANCO : MERCADO PAGO (323)AGÊNCIA: 0001CONTA : 8665567776-6CPF : 042.385.551-47NOME : ROSA MARIA SILVA ALENCARNúmero do documento do beneficiário: 010573521000191Obrigada"
15,mercado-pago,"Fiz 3 pagamentos para uma empresa, pois estava pagando um fogao parcelaso para eles. Porem agora a empresa me bloqueou nao me envi",preciso-do-estorno_ZVuwQEMNAuczFPTb,"Fiz 3 pagamentos para uma empresa, pois estava pagando um fogao parcelaso para eles. Porem agora a empresa me bloqueou nao me enviou o produto. Tentei entrar em contato com a plataforma porem fui super mal atendido.  Preciso que o mercado pago faca o estorno dos pix feitos "
16,mercado-pago,"eu ja entrei em contato , pois quando adquiri a maquininha estava que eu não teria cobrança de taxa durante 30 dias, porém a prime",descaso-com-cliente_NxM6DZo-JLS7cr6Y,"eu ja entrei em contato , pois quando adquiri a maquininha estava que eu não teria cobrança de taxa durante 30 dias, porém a primeira venda houve a cobrança, entrei em contato e me informaram que esse adesao de promoção seria após a primeira venda para começar a ser utilizada, pois bem , ainda está cobrando taxa em todas minhas vendas , fui orientado que meu caso foi aberto um retorno e prciso aguardar mais 5 dias uteis, eu ja bri um reclame aqui e até hj nao me responderam, agora fico no prejuizo e sem usar o tal beneficio que fizeram propoganda , se eu soubesse que nao teria eu tinha opção de ter comprado outra maquininha com outra marca que estava me oferecendo e optei pelo mercado pago achando que seria o ,melhor mas pelo contrario esta me fazendo sentir enganado e fazendo descaso comigo "
17,mercado-pago,"Fiz uma compra de umas bolsas necessaire Beauty no dia 12/08 efetuei o pagamento no dia 15/08 no valor de 455,98, CNPJ 10573521000",cancelaram-minha-compra-e-nao-estornaram-o-dinheiro-do-boleto-que-paguei_hzE4K42Wn8NWfC_D,"Fiz uma compra de umas bolsas necessaire Beauty no dia 12/08 efetuei o pagamento no dia 15/08 no valor de 455,98, CNPJ 105735210001-91 no de mercado pago. Com representações, Tiago Rogerio Nascimento, pelo CPF 088 13921977, porém recebi um e-mail dizendo que cancelaram a compra, por falta de pagamento, ms o pagamento foi efetuado sim, eu quero meu dinheiro de volta, e até agora nada."
18,mercado-pago,"Estou tentando comprar um Notebook pelo site porém em todas as vezes em que conclui a compra, recebi um e-mail informando o CANCEL",seu-pedido-foi-cancelado_wk_R82FKpdsnLMA5,"Estou tentando comprar um Notebook pelo site porém em todas as vezes em que conclui a compra, recebi um e-mail informando o CANCELAMENTO DO PEDIDO sem NENHUMA JUSTIFICATIVA!Pedido #1260002262130-01Pedido #1260153537799-01Pedido #1259910266094-01Número do chamado #220908175506893676"
19,mercado-pago,No dia 02/08/2022 foi realizado abertura de conta bancária em meu nome no mercadopago sem meu conhecimento com uso de meu cpf. Apó,conta-editado-pelo-reclame-aqui_Mkh2qpv5RnXpq-8r,"No dia 02/08/2022 foi realizado abertura de conta bancária em meu nome no mercadopago sem meu conhecimento com uso de meu cpf. Após abertura ainda foi solicitado portabilidade para a conta aberta em meu nome sem meu conhecimento. Absurdo aceitarem abertura de conta com apenas numero de documento. Fui informada sobre o acontecido pelo meu banco de origem. É dificil entrar em contato com mercado livre pois sempre solicitam login da conta para reclamação e eu não possuo conta, apenas a que foi [Editado pelo Reclame Aqui] sob meu nome. Bruna Patrocínio dos Santos Silva. Por meio deste solicito o cancelamento da conta que foi autorizado pelo mercado pago em meu nome. Grata."
